Rented Price;Rented Date;County;Property Type;Furnished;Bedrooms;Full Baths;Half baths;Garage;Square feet;Waterfront Property (Y/N);Pool YN;Year Built;List Date;Address;Map Coordinates;List Price;Original List Price;ADOM;ML#;Style,,,
$3.200 ;15.10.2024;Miami-Dade;Condo;Furnished;0;1;0;0;446;No;Yes;2022;4.06.2024;227 NE 2nd Unit#2810, Miami, FL 33132;;$2.600 ;$2.800 ;124;A11600709;R62-Condo/Co-Op-Annual,
$3.200 ;8.05.2024;Miami-Dade;Condo;Furnished;1;1;0;0;455;Yes;Yes;2022;4.03.2024;227 NE 2nd St Unit#2101, Miami, FL 33132;;$3.200 ;$3.200 ;59;A11547775;R62-Condo/Co-Op-Annual,
$3.000 ;15.04.2023;Miami-Dade;Condo;Furnished;0;1;0;0;456;No;Yes;2022;26.12.2022;227 NE 2nd st Unit#2307, Miami, FL 33132;;$3.000 ;$2.850 ;82;A11319138;R62-Condo/Co-Op-Annual,
$3.000 ;1.02.2023;Miami-Dade;Condo;Furnished;0;1;0;0;456;No;Yes;2022;26.12.2022;227 NE 2nd st Unit#2807, Miami, FL 3332;;$2.850 ;$2.850 ;36;A11319179;R62-Condo/Co-Op-Annual,
$2.600 ;1.07.2024;Miami-Dade;Condo;Furnished;2;1;0;0;469;No;No;2019;9.05.2024;810 7th St Unit#102, Miami Beach, FL 33139;;$2.600 ;$2.600 ;36;A11582715;R62-Condo/Co-Op-Annual,
$3.000 ;1.07.2022;Miami-Dade;Condo;Furnished;0;1;0;1;477;No;Yes;2022;10.06.2022;227 NE 2nd St Unit#2810, Miami, FL 33132;;$3.000 ;$3.000 ;10;A11220009;R62-Condo/Co-Op-Annual,
$2.650 ;14.11.2024;Miami-Dade;Condo;Furnished;0;1;0;0;492;No;Yes;2024;9.08.2024;601 NE 1 AVE Unit#2812, Miami, FL 33132;;$2.600 ;$3.300 ;97;A11638655;R62-Condo/Co-Op-Annual,
$2.300 ;1.02.2024;Miami-Dade;Condo;Furnished;1;1;0;0;511;No;No;2022;18.12.2023;1610 Euclid Ave Unit#A108, Miami Beach, FL 33139;;$2.300 ;$2.300 ;45;A11501305;R62-Condo/Co-Op-Annual,
$3.000 ;15.05.2023;Miami-Dade;Condo;Furnished;1;1;0;0;511;No;No;2022;4.05.2023;1610 Euclid Ave Unit#A110, Miami Beach, FL 33139;;$3.000 ;$3.000 ;7;A11380765;R62-Condo/Co-Op-Annual,
$3.000 ;17.09.2024;Miami-Dade;Condo;Furnished;1;1;0;0;515;No;Yes;2022;5.08.2024;227 NE 2nd St Unit#2504, Miami, FL 33132;;$3.000 ;$3.000 ;45;A11635553;R63-Condo/Co-Op-Seasonal,
$3.000 ;5.09.2023;Miami-Dade;Condo;Furnished;1;1;0;0;515;No;Yes;2022;8.06.2023;227 NE 2nd St Unit#2504, Miami, FL 33132;;$3.000 ;$3.000 ;74;A11400928;R63-Condo/Co-Op-Seasonal,
$2.550 ;14.08.2023;Miami-Dade;Condo;Furnished;1;1;0;0;521;No;Yes;2022;29.06.2023;227 NE 2nd St Unit#2703, Miami, FL 33132;;$2.550 ;$2.550 ;25;A11403949;R62-Condo/Co-Op-Annual,
$2.700 ;15.09.2024;Miami-Dade;Condo;Furnished;1;1;0;0;521;No;Yes;2022;8.07.2024;227 NE 2nd St Unit#2703, Miami, FL 33132;;$2.895 ;$2.995 ;64;A11615330;R62-Condo/Co-Op-Annual,
$3.100 ;20.12.2023;Miami-Dade;Condo;Furnished;1;1;0;1;528;Yes;Yes;2019;6.07.2023;851 NE 1st Ave Unit#508, Miami, FL 33132;;$3.300 ;$4.000 ;159;A11414743;R62-Condo/Co-Op-Annual,
$3.500 ;30.03.2022;Miami-Dade;Condo;Furnished;1;1;0;1;528;Yes;Yes;2019;12.07.2021;851 NE 1st Ave Unit#508, Miami, FL 33132;;$3.500 ;$3.500 ;239;A11069413;R62-Condo/Co-Op-Annual,
$3.500 ;9.01.2024;Miami-Dade;Condo;Furnished;0;1;0;1;528;No;No;2019;17.04.2023;851 NE 1st Ave Unit#408, Miami, FL 33132;;$3.500 ;$3.600 ;267;A11374892;R63-Condo/Co-Op-Seasonal,
$3.700 ;13.01.2023;Miami-Dade;Condo;Furnished;0;1;0;1;528;No;Yes;2019;23.12.2022;851 NE 1st Ave Unit#408, Miami, FL 33132;;$3.700 ;$3.700 ;21;A11319202;R63-Condo/Co-Op-Seasonal,
$4.030 ;1.01.2022;Miami-Dade;Condo;Furnished;0;1;0;1;534;No;Yes;2020;15.04.2021;3000 NE 2nd Ave Unit#studio, Miami, FL 33137;;$4.030 ;$3.860 ;274;A11028228;R65-Apartments-Seasonal,
$3.500 ;22.01.2024;Miami-Dade;Condo;Furnished;1;1;0;1;538;No;Yes;2023;20.11.2023;239 SW 9 ST Unit#1505, Miami, FL 33130;;$3.500 ;$3.200 ;63;A11489487;R63-Condo/Co-Op-Seasonal,
$4.000 ;23.09.2022;Miami-Dade;Condo;Furnished;1;1;0;1;557;No;Yes;2022;7.07.2022;227 NE 2nd St Unit#1504, Miami, FL 33132;;$4.000 ;$4.500 ;94;A11233935;R62-Condo/Co-Op-Annual,
$3.100 ;1.11.2023;Miami-Dade;Condo;Furnished;1;1;0;1;574;No;Yes;2023;29.09.2023;239 SW 9 St Unit#1602, Miami, FL 33130;;$3.200 ;$3.200 ;27;A11461418;R62-Condo/Co-Op-Annual,
$3.200 ;1.12.2023;Miami-Dade;Condo;Furnished;1;1;0;1;574;No;Yes;2023;28.09.2023;239 SW 9 St Unit#1502, Miami, FL 33130;;$3.200 ;$3.200 ;53;A11460648;R62-Condo/Co-Op-Annual,
$3.350 ;27.06.2024;Miami-Dade;Condo;Furnished;1;1;0;1;574;No;Yes;2023;13.03.2024;239 SW 9 St Unit#1502, Miami, FL 33130;;$3.500 ;$3.990 ;111;A11549669;R62-Condo/Co-Op-Annual,
$1.800 ;15.10.2024;Miami-Dade;SFH;Furnished;1;1;0;0;580;No;No;2023;27.09.2024;22751 SW 131st Ave Unit#NEXTGEN, Miami, FL 33170;;$1.800 ;$1.800 ;25;A11667128;R61-Residential-Seasonal,
$1.800 ;14.09.2023;Miami-Dade;SFH;Furnished;1;1;0;0;580;No;No;2023;31.05.2023;22751 SW 131st Ave Unit#NEXTGEN, Miami, FL 33170;;$1.800 ;$2.200 ;99;A11396084;R61-Residential-Seasonal,
$2.700 ;1.07.2023;Miami-Dade;Condo;Furnished;0;1;0;1;582;Yes;Yes;2019;23.04.2022;1600 NE 1 AVE Unit#2004, Miami, FL 33132;;$2.800 ;$4.500 ;388;A11193686;R63-Condo/Co-Op-Seasonal,
$2.800 ;3.11.2023;Miami-Dade;Condo;Furnished;1;1;0;0;588;No;No;2022;24.10.2023;1610 Euclid Ave Unit#B103, Miami Beach, FL 33139;;$2.800 ;$2.800 ;18;A11474567;R62-Condo/Co-Op-Annual,
$2.800 ;1.09.2023;Miami-Dade;Condo;Furnished;1;1;0;1;599;No;Yes;2022;8.06.2023;227 NE 2nd St Unit#2602, Miami, FL 33132;;$2.950 ;$3.500 ;85;A11400936;R62-Condo/Co-Op-Annual,
$2.800 ;16.09.2022;Miami-Dade;Condo;Furnished;0;1;0;0;600;No;Yes;2019;16.08.2022;851 NE 1st Ave Unit#303, Miami, FL 33132;;$2.800 ;$2.800 ;9;A11257685;R62-Condo/Co-Op-Annual,
$3.200 ;16.12.2024;Palm Beach;SFH;Furnished;1;1;0;1;620;No;No;2019;31.10.2024;352 Window Rock Drive, Wellington, FL 33414;;$3.200 ;$3.700 ;21;R11033223;R61-Residential-Seasonal,
$2.500 ;5.12.2022;Miami-Dade;Condo;Furnished;0;1;0;0;620;No;Yes;2019;14.06.2022;1600 NE 1 Ave Unit#2802, Miami, FL 33132;;$2.500 ;$3.100 ;155;A11222402;R62-Condo/Co-Op-Annual,
$3.200 ;1.06.2022;Miami-Dade;Condo;Furnished;0;1;0;1;620;No;Yes;2019;9.02.2022;851 NE 1st Ave Unit#300, Miami, FL 33132;;$3.500 ;$5.000 ;128;A11158474;R62-Condo/Co-Op-Annual,
$3.400 ;13.07.2023;Miami-Dade;Condo;Furnished;0;1;0;1;620;No;No;2019;1.07.2023;851 NE 1ST AVE Unit#300, Miami, FL 33132;;$3.500 ;$3.500 ;16;A11412766;R62-Condo/Co-Op-Annual,
$3.400 ;12.11.2024;Miami-Dade;Condo;Furnished;0;0;0;1;620;No;Yes;2019;28.05.2024;851 NE 1st Ave Unit#300, Miami, FL 33132;;$3.650 ;$3.650 ;168;A11595035;R62-Condo/Co-Op-Annual,
$3.500 ;24.01.2022;Miami-Dade;Condo;Furnished;0;0;0;0;622;No;Yes;2019;4.01.2022;851 NE 1st Ave Unit#201, Miami, FL 33132;;$3.500 ;$3.500 ;26;A11142457;R62-Condo/Co-Op-Annual,
$3.400 ;30.11.2023;Miami-Dade;Condo;Furnished;1;1;0;1;630;Yes;Yes;2019;20.09.2023;851 NE 1st Ave Unit#301, Miami, FL 33132;;$3.400 ;$3.500 ;61;A11456144;R62-Condo/Co-Op-Annual,
$3.500 ;7.10.2024;Miami-Dade;Condo;Furnished;1;1;0;1;630;Yes;Yes;2019;13.05.2024;851 NE 1st Ave Unit#301, Miami, FL 33132;;$3.500 ;$4.000 ;148;A11586460;R62-Condo/Co-Op-Annual,
$3.550 ;12.04.2023;Miami-Dade;Condo;Furnished;1;1;0;1;630;Yes;Yes;2019;10.08.2022;851 NE 1st Ave Unit#301, Miami, FL 33132;;$3.550 ;$4.000 ;232;A11254781;R62-Condo/Co-Op-Annual,
$3.650 ;1.11.2023;Miami-Dade;Condo;Furnished;0;1;0;0;630;No;No;2019;29.08.2023;851 NE 1st Avenue Unit#306, Miami, FL 33130;;$3.799 ;$3.800 ;65;R10915471;R62-Condo/Co-Op-Annual,
$3.000 ;21.10.2024;Miami-Dade;Condo;Furnished;1;1;0;1;637;No;Yes;2024;30.08.2024;601 NE 1st Ave Unit#2904, Miami, FL 33132;;$3.000 ;$4.000 ;48;A11650626;R63-Condo/Co-Op-Seasonal,
$3.450 ;17.12.2024;Miami-Dade;Condo;Furnished;0;1;0;0;662;No;Yes;2019;8.08.2024;851 NE 1st Ave Unit#202, Miami, FL 33132;;$3.550 ;$3.700 ;132;A11638269;R62-Condo/Co-Op-Annual,
$3.700 ;2.10.2023;Miami-Dade;Condo;Furnished;0;1;0;0;662;No;Yes;2019;8.09.2023;851 NE 1st Ave Unit#202, Miami, FL 33132;;$3.800 ;$3.800 ;60;A11444341;R62-Condo/Co-Op-Annual,
$3.000 ;22.01.2024;Miami-Dade;Condo;Furnished;1;1;0;1;664;No;Yes;2022;1.12.2023;227 NE 2nd St Unit#3000, Miami, FL 33132;;$3.000 ;$3.300 ;52;A11493886;R62-Condo/Co-Op-Annual,
$3.300 ;26.09.2022;Miami-Dade;Condo;Furnished;1;1;0;1;664;No;Yes;2022;10.06.2022;227 NE 2nd St Unit#3000, Miami, FL 33132;;$3.500 ;$4.000 ;96;A11220012;R62-Condo/Co-Op-Annual,
$4.250 ;7.10.2022;Miami-Dade;Condo;Furnished;1;1;0;1;664;No;Yes;2022;16.09.2022;227 NE 2nd Street Unit#2200, Miami, FL 33132;;$4.250 ;$4.250 ;23;A11273782;R62-Condo/Co-Op-Annual,
$3.400 ;1.11.2024;Miami-Dade;Condo;Furnished;1;2;0;1;665;Yes;Yes;2022;11.10.2024;398 NE 5th St Unit#3714, Miami, FL 33132;;$3.500 ;$3.500 ;15;A11675148;R62-Condo/Co-Op-Annual,
$4.000 ;15.01.2024;Miami-Dade;Condo;Furnished;1;1;0;0;665;No;Yes;2019;16.11.2023;1000 Brickell Plz Unit#2304, Miami, FL 33131;;$4.200 ;$4.350 ;39;A11487476;R62-Condo/Co-Op-Annual,
$4.100 ;12.07.2024;Miami-Dade;Condo;Furnished;1;1;0;1;665;No;No;2019;19.06.2024;1000 Brickell Plz Unit#2404, Miami, FL 33131;;$4.200 ;$4.200 ;14;A11609749;R62-Condo/Co-Op-Annual,
$4.200 ;19.04.2024;Miami-Dade;Condo;Furnished;1;1;0;1;665;No;Yes;2019;27.02.2024;1000 Brickell Plz Unit#2604, Miami, FL 33131;;$4.300 ;$4.500 ;59;A11540363;R62-Condo/Co-Op-Annual,
$4.200 ;15.03.2024;Miami-Dade;Condo;Furnished;1;1;0;1;665;No;Yes;2019;30.01.2024;1000 Brickell Plz Unit#3404, Miami, FL 33131;;$4.300 ;$4.500 ;35;A11523835;R62-Condo/Co-Op-Annual,
$4.200 ;14.02.2024;Miami-Dade;Condo;Furnished;1;1;0;1;665;No;No;2019;19.01.2024;1000 Brickell Plz Unit#2404, Miami, FL 33131;;$4.200 ;$4.400 ;14;A11517026;R62-Condo/Co-Op-Annual,
$4.300 ;1.11.2023;Miami-Dade;Condo;Furnished;1;1;0;1;665;No;Yes;2019;1.09.2023;1000 Brickell Plz Unit#3404, Miami, FL 33131;;$4.500 ;$4.500 ;25;A11449141;R62-Condo/Co-Op-Annual,
$4.500 ;27.05.2024;Miami-Dade;Condo;Furnished;1;1;0;1;665;No;Yes;2019;11.04.2024;1000 Brickell Plaza Unit#4704, Miami, FL 33131;;$4.500 ;$4.800 ;54;A11567939;R62-Condo/Co-Op-Annual,
$4.600 ;16.02.2023;Miami-Dade;Condo;Furnished;1;1;0;1;665;No;Yes;2019;12.01.2023;1000 Brickell Plz Unit#3404, Miami, FL 33131;;$4.300 ;$4.300 ;28;A11326548;R62-Condo/Co-Op-Annual,
$3.850 ;20.03.2024;Miami-Dade;Condo;Furnished;0;1;0;1;668;No;Yes;2019;31.01.2024;851 NE 1st Ave Unit#305, Miami, FL 33132;;$3.850 ;$4.000 ;49;A11524747;R62-Condo/Co-Op-Annual,
$3.500 ;31.08.2022;Miami-Dade;Condo;Furnished;1;1;0;1;669;No;Yes;2022;1.08.2022;227 NE 2nd St Unit#2602, Miami, FL 33132;;$3.500 ;$3.500 ;9;A11249742;R62-Condo/Co-Op-Annual,
$2.900 ;14.09.2022;Miami-Dade;Condo;Furnished;1;1;0;1;681;No;No;2019;11.08.2022;301 Altara Ave Unit#LPH905, Coral Gables, FL 33146;;$2.950 ;$4.000 ;34;A11255550;R63-Condo/Co-Op-Seasonal,
$4.200 ;11.09.2024;Miami-Dade;Condo;Furnished;1;1;0;1;687;No;Yes;2024;31.07.2024;601 NE 1 Unit#3613, Miami, FL 33132;;$5.000 ;$5.500 ;100;A11633330;R63-Condo/Co-Op-Seasonal,
$3.600 ;15.07.2024;Miami-Dade;Condo;Furnished;1;1;0;1;703;No;Yes;2019;30.04.2024;301 Altara Ave Unit#603, Coral Gables, FL 33146;;$3.600 ;$3.600 ;41;A11578143;R62-Condo/Co-Op-Annual,
$3.650 ;27.09.2024;Miami-Dade;Condo;Furnished;1;1;0;1;703;No;Yes;2019;29.08.2024;301 Altara Ave Unit#606, Coral Gables, FL 33146;;$3.650 ;$3.650 ;29;A11648282;R62-Condo/Co-Op-Annual,
$3.500 ;1.10.2022;Miami-Dade;Condo;Furnished;1;1;0;1;703;No;No;2019;3.08.2022;301 Altara Ave Unit#UPH1006, Coral Gables, FL 33146;;$3.750 ;$4.100 ;55;A11249580;R63-Condo/Co-Op-Seasonal,
$3.650 ;1.10.2023;Miami-Dade;Condo;Furnished;1;1;0;1;705;No;Yes;2019;9.07.2023;301 Altara Ave Unit#UPH1007, Coral Gables, FL 33146;;$3.650 ;$3.700 ;39;F10388787;R62-Condo/Co-Op-Annual,
$4.150 ;8.11.2024;Miami-Dade;Condo;Furnished;1;1;0;1;705;No;Yes;2019;17.09.2024;301 Altara Ave Unit#UPH1007, Coral Gables, FL 33146;;$3.790 ;$3.790 ;37;F10461916;R62-Condo/Co-Op-Annual,
$3.600 ;22.07.2024;Miami-Dade;Condo;Furnished;1;1;0;1;713;No;Yes;2019;24.06.2024;301 Altara Ave Unit#629, Coral Gables, FL 33146;;$3.600 ;$3.600 ;12;A11611932;R62-Condo/Co-Op-Annual,
$3.400 ;21.06.2022;Miami-Dade;Condo;Furnished;1;1;1;1;714;No;Yes;2022;15.04.2022;1030 15 Street Unit#300, Miami Beach, FL 33139;;$3.950 ;$4.600 ;74;A11188856;R63-Condo/Co-Op-Seasonal,
$4.000 ;10.12.2021;Miami-Dade;Condo;Furnished;0;1;0;0;715;No;Yes;2019;22.11.2021;851 NE 1st Ave Unit#304, Miami, FL 33132;;$5.000 ;$5.000 ;29;A11127984;R62-Condo/Co-Op-Annual,
$3.333 ;15.06.2024;Miami-Dade;Condo;Furnished;1;1;1;1;721;No;Yes;2022;12.03.2024;1030 15th St Unit#300, Miami Beach, FL 33139;;$3.500 ;$4.400 ;97;A11548664;R62-Condo/Co-Op-Annual,
$4.400 ;1.04.2023;Miami-Dade;Condo;Furnished;1;1;1;1;721;No;Yes;2022;6.03.2023;1030 15th St Unit#300, Miami Beach, FL 33139;;$4.400 ;$4.400 ;22;A11352177;R62-Condo/Co-Op-Annual,
$4.300 ;9.03.2023;Miami-Dade;Condo;Furnished;1;1;0;1;728;No;Yes;2019;23.02.2023;3900 Biscayne Blvd Unit#N-905, Miami, FL 33137;;$4.300 ;$4.300 ;14;A11347413;R63-Condo/Co-Op-Seasonal,
$3.000 ;6.10.2021;Miami-Dade;Condo;Furnished;1;1;1;0;732;No;Yes;2019;9.09.2021;851 NE 1st Ave Unit#510, Miami, FL 33132;;$3.000 ;$3.000 ;4;A11096244;R62-Condo/Co-Op-Annual,
$3.500 ;17.04.2023;Miami-Dade;Condo;Furnished;1;1;0;2;732;No;Yes;2019;21.11.2022;851 NE 1st Ave Unit#410, Miami, FL 33132;;$3.600 ;$3.700 ;112;A11306246;R62-Condo/Co-Op-Annual,
$3.500 ;11.01.2022;Miami-Dade;Condo;Furnished;1;1;0;1;732;No;Yes;2019;20.12.2021;851 NE 1st Ave Unit#410, Miami, FL 33132;;$3.500 ;$3.500 ;14;A11138401;R62-Condo/Co-Op-Annual,
$3.500 ;21.10.2024;Miami-Dade;Condo;Furnished;1;1;1;1;732;No;Yes;2019;8.07.2024;851 NE 1st Ave Unit#510, Miami, FL 33132;;$3.795 ;$3.950 ;105;A11619645;R62-Condo/Co-Op-Annual,
$3.700 ;10.01.2024;Miami-Dade;Condo;Furnished;1;1;1;1;732;No;Yes;2019;6.10.2023;851 NE 1st Ave Unit#510, Miami, FL 33132;;$3.800 ;$3.700 ;96;A11465127;R62-Condo/Co-Op-Annual,
$3.700 ;12.10.2022;Miami-Dade;Condo;Furnished;1;1;1;0;732;No;Yes;2019;8.09.2022;851 NE 1st Ave Unit#510, Miami, FL 33132;;$3.700 ;$3.700 ;30;A11269454;R62-Condo/Co-Op-Annual,
$4.350 ;24.07.2023;Miami-Dade;Condo;Furnished;1;1;0;1;737;No;Yes;2019;29.06.2023;1000 Brickell Plaza Unit#4904, Miami, FL 33131;;$4.550 ;$4.550 ;28;A11411579;R62-Condo/Co-Op-Annual,
$4.500 ;1.11.2024;Miami-Dade;Condo;Furnished;1;1;0;1;737;No;Yes;2019;12.05.2024;1000 Brickell Plz Unit#4504, Miami, FL 33131;;$4.500 ;$4.800 ;173;A11586092;R62-Condo/Co-Op-Annual,
$4.500 ;5.07.2022;Miami-Dade;Condo;Furnished;1;1;0;1;737;No;Yes;2019;4.05.2022;1000 Brickell Plaza Unit#4504, Miami, FL 33131;;$4.500 ;$6.000 ;49;A11199229;R62-Condo/Co-Op-Annual,
$4.800 ;1.09.2021;Miami-Dade;Condo;Furnished;1;1;0;1;737;No;Yes;2019;9.07.2021;1000 Brickell Plaza Unit#4504, Miami, FL 33131;;$4.800 ;$4.800 ;45;A11068535;R63-Condo/Co-Op-Seasonal,
$3.900 ;10.10.2022;Miami-Dade;Condo;Furnished;1;1;0;1;744;No;Yes;2019;19.09.2022;3900 Biscayne Blvd Unit#S-1118, Miami, FL 33137;;$3.900 ;$4.400 ;21;A11275400;R62-Condo/Co-Op-Annual,
$3.950 ;12.07.2022;Miami-Dade;Condo;Furnished;2;1;0;1;750;No;Yes;2022;7.04.2022;1030 15th St. Unit#203, Miami Beach, FL 33139;;$3.950 ;$4.900 ;91;A11187019;R62-Condo/Co-Op-Annual,
$2.850 ;14.10.2023;Miami-Dade;Condo;Furnished;1;1;0;1;752;Yes;Yes;2019;23.04.2022;1600 NE 1 AVE Unit#1617, Miami, FL 33132;;$3.000 ;$5.000 ;593;A11193698;R63-Condo/Co-Op-Seasonal,
$3.750 ;9.09.2024;Miami-Dade;Condo;Furnished;1;1;0;1;766;No;Yes;2019;2.08.2024;301 Altara Ave Unit#403, Coral Gables, FL 33146;;$3.750 ;$3.750 ;28;A11629504;R63-Condo/Co-Op-Seasonal,
$5.000 ;18.11.2024;Miami-Dade;Condo;Furnished;1;1;1;1;767;Yes;Yes;2024;21.10.2024;300 Biscayne Blvd Way Unit#4408W, Miami, FL 33131;;$5.500 ;$7.000 ;26;A11677501;R62-Condo/Co-Op-Annual,
$5.300 ;18.11.2024;Miami-Dade;Condo;Furnished;1;1;1;0;767;Yes;Yes;2024;23.10.2024;300 Biscayne Blvd Way Unit#2708, Miami, FL 33131;;$5.500 ;$5.500 ;15;A11681237;R62-Condo/Co-Op-Annual,
$6.000 ;28.12.2024;Miami-Dade;Condo;Furnished;1;1;1;0;767;Yes;Yes;2024;28.10.2024;300 Biscayne Blvd Way Unit#4308, Miami, FL 33131;;$6.500 ;$6.500 ;37;A11681508;R62-Condo/Co-Op-Annual,
$4.450 ;3.11.2023;Miami-Dade;Condo;Furnished;1;1;0;1;775;Yes;Yes;2023;15.09.2023;700 NE 26th Terrace Unit#2304, Miami, FL 33137;;$4.500 ;$4.990 ;23;A11450989;R62-Condo/Co-Op-Annual,
$3.900 ;25.08.2022;Miami-Dade;Condo;Furnished;2;1;1;0;780;Yes;Yes;2022;27.06.2022;227 NE 2nd St Unit#2806, Miami, FL 33132;;$3.995 ;$4.200 ;60;A11228924;R62-Condo/Co-Op-Annual,
$7.000 ;8.02.2022;Palm Beach;Condo;Furnished;1;1;0;1;794;No;No;2019;3.05.2021;111 SE 1st Avenue Unit#317, Delray Beach, FL 33444;;$3.000 ;$3.000 ;21;R10712863;R63-Condo/Co-Op-Seasonal,
$4.800 ;4.04.2022;Miami-Dade;Condo;Furnished;1;1;1;1;826;No;Yes;2019;21.01.2022;1000 Brickell Plz Unit#2311, Miami, FL 33131;;$5.000 ;$5.500 ;72;A11149925;R62-Condo/Co-Op-Annual,
$4.800 ;15.08.2023;Miami-Dade;Condo;Furnished;1;1;1;1;826;No;Yes;2019;21.02.2023;1000 Brickell Plz Unit#2011, Miami, FL 33131;;$4.800 ;$4.800 ;108;A11346119;R62-Condo/Co-Op-Annual,
$5.000 ;30.06.2023;Miami-Dade;Condo;Furnished;1;1;1;0;826;No;Yes;2019;24.05.2023;1000 Brickell Plz Unit#3611, Miami, FL 33131;;$5.500 ;$5.500 ;27;A11396127;R62-Condo/Co-Op-Annual,
$5.000 ;8.10.2022;Miami-Dade;Condo;Furnished;1;1;1;1;826;No;Yes;2019;24.08.2022;1000 Brickell Plz Unit#2011, Miami, FL 33131;;$4.850 ;$5.000 ;40;A11261603;R62-Condo/Co-Op-Annual,
$5.000 ;28.10.2021;Miami-Dade;Condo;Furnished;1;1;1;1;826;No;Yes;2019;3.09.2021;1000 Brickell Plz Unit#2211, Miami, FL 33131;;$4.800 ;$4.800 ;48;A11106066;R62-Condo/Co-Op-Annual,
$5.400 ;17.06.2024;Miami-Dade;Condo;Furnished;1;1;1;1;826;No;Yes;2019;12.06.2024;1000 Brickell Plz Unit#2011, Miami, FL 33131;;$5.400 ;$5.400 ;5;A11605969;R62-Condo/Co-Op-Annual,
$5.500 ;15.01.2022;Miami-Dade;Condo;Furnished;1;1;1;1;826;No;Yes;2019;23.11.2021;1000 Brickell Plz Unit#2011, Miami, FL 33131;;$5.500 ;$5.500 ;16;A11128521;R62-Condo/Co-Op-Annual,
$5.500 ;1.08.2022;Miami-Dade;Condo;Furnished;1;1;1;1;826;No;Yes;2019;24.05.2022;1000 Brickell Plz Unit#2011, Miami, FL 33131;;$5.350 ;$5.900 ;83;A11211816;R62-Condo/Co-Op-Annual,
